#name	description	is_reversible	data_source	is_spontaneous
PROD2	Proline_dehydrogenase	0		0
SPMDAT1	Spermidine_acetyltransferase	0		0
SPMDAT2	Spermidine_acetyltransferase_(N8)	0		0
SPMS	spermidine_synthase	0		0
SSALy	succinate-semialdehyde_dehydrogenase_(NADP)	0		0
UREAAH	urea_amidohydrolase	0		0
ARGSS	argininosuccinate_synthase	0		0
CG_biomass_cgl_ATCC13032	cgl_biomass_objective_function_(ATCC13032)	0		0
BAMPN	Biotinyl-5'-AMP:apo-[carboxylase]_ligase_(AMP-forming)	1		0
BIOTIN_t	BIOTIN_t	0		0
BTNAMP	Biotin:CoA_ligase_(AMP-forming)	0		0
3HAD100	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C10:0)	0		0
3HAD120	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C12:0)	0		0
3HAD121	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C12:1)	0		0
3HAD140	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C14:0)	0		0
3HAD141	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C14:1)	0		0
3HAD160	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C16:0)	0		0
3HAD161	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C16:1)	0		0
3HAD180	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C18:0)	0		0
3HAD181	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C18:1)	0		0
3HAD40	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C4:0)	0		0
3HAD60	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C6:0)	0		0
3HAD80	3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(n-C8:0)	0		0
3OAR100	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C10:0)	1		0
3OAR120	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C12:0)	1		0
3OAR140	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C14:0)	1		0
3OAR160	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C16:0)	1		0
3OAR180	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C18:0)	1		0
3OAR40	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C4:0)	1		0
3OAR60	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C6:0)	1		0
3OAR80	3-oxoacyl-[acyl-carrier-protein]_reductase_(n-C8:0)	1		0
3OAS100	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C10:0)	0		0
3OAS120	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C12:0)	0		0
3OAS121	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C12:1)	0		0
3OAS140	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C14:0)	0		0
3OAS141	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C14:1)	0		0
3OAS160	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C16:0)	0		0
3OAS161	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C16:1)	0		0
3OAS180	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C18:0)	0		0
3OAS181	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C18:1)	0		0
3OAS60	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C6:0)	0		0
3OAS80	3-oxoacyl-[acyl-carrier-protein]_synthase_(n-C8:0)	0		0
AACPS1	acyl-[acyl-carrier-protein]_synthetase_(n-C14:0)	0		0
AACPS2	acyl-[acyl-carrier-protein]_synthetase__(n-C14:1)	0		0
AACPS3	acyl-[acyl-carrier-protein]_synthetase__(n-C16:0)	0		0
AACPS4	acyl-[acyl-carrier-protein]_synthetase__(n-C16:1)	0		0
AACPS5	acyl-[acyl-carrier-protein]_synthetase__(n-C18:1)	0		0
AACPS6	acyl-[acyl-carrier-protein]_synthetase__(n-C18:0)	0		0
AACPS7	acyl-[acyl-carrier-protein]_synthetase__(n-C12:0)	0		0
